time,cash,unrealised,equity,exposure
2020-01-02 01:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 01:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 01:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 01:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 02:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 02:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 02:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 02:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 03:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 03:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 03:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 03:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 04:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 04:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 04:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 04:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 05:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 05:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 05:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 05:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 06:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 06:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 06:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 06:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 07:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 07:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 07:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 07:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 08:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 08:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 08:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 08:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 09:00:00,25000.0,0.0,25000.0,0.0
2020-01-02 09:15:00,25000.0,0.0,25000.0,0.0
2020-01-02 09:30:00,25000.0,0.0,25000.0,0.0
2020-01-02 09:45:00,25000.0,0.0,25000.0,0.0
2020-01-02 10:00:00,25000.0,0.0,25000.0,0.0
